year,month,province,region,animal_bites,vaccinated,serum,human_cases,deaths
2019,2,Hồ Chí Minh,Miền Nam,118,86,28,0,0
2019,2,Cần Thơ,Miền Nam,151,103,20,1,0
2019,2,An Giang,Miền Nam,120,95,27,2,1
2019,2,Kiên Giang,Miền Nam,129,86,29,0,0
2019,2,Đồng Tháp,Miền Nam,121,79,29,0,0
2019,2,Bình Phước,Miền Nam,120,95,37,2,1
2019,2,Tây Ninh,Miền Nam,141,116,30,2,1
2019,3,Hà Nội,Miền Bắc,161,116,45,0,0
2019,3,Hải Phòng,Miền Bắc,133,115,46,1,1
2019,3,Quảng Ninh,Miền Bắc,135,112,22,1,1
2019,3,Bắc Giang,Miền Bắc,151,124,40,0,0
2019,3,Lạng Sơn,Miền Bắc,132,88,33,1,1
2019,3,Sơn La,Miền Bắc,139,115,36,0,0
2019,3,Thanh Hóa,Miền Bắc,165,125,22,1,0
2019,3,Nghệ An,Miền Bắc,180,141,57,1,1
2019,3,Đà Nẵng,Miền Trung,178,152,46,1,0
2019,3,Quảng Nam,Miền Trung,119,96,27,1,1
2019,3,Quảng Ngãi,Miền Trung,163,129,31,0,0
2019,3,Bình Định,Miền Trung,115,90,17,3,1
2019,3,Khánh Hòa,Miền Trung,153,132,46,1,0
2019,3,Phú Yên,Miền Trung,99,72,26,1,1
2019,3,Gia Lai,Tây Nguyên,202,150,36,0,0
2019,3,Đắk Lắk,Tây Nguyên,189,166,69,3,2
2019,3,Lâm Đồng,Tây Nguyên,179,131,27,1,1
2019,3,Kon Tum,Tây Nguyên,148,109,23,0,0
2019,3,Hồ Chí Minh,Miền Nam,130,105,24,0,0
2019,3,Cần Thơ,Miền Nam,148,111,44,0,0
2019,3,An Giang,Miền Nam,125,92,30,2,2
2019,3,Kiên Giang,Miền Nam,150,105,20,0,0
2019,3,Đồng Tháp,Miền Nam,119,81,27,0,0
2019,3,Bình Phước,Miền Nam,139,105,35,0,0
2019,3,Tây Ninh,Miền Nam,140,96,23,0,0
2019,4,Hà Nội,Miền Bắc,143,108,24,0,0
2019,4,Hải Phòng,Miền Bắc,156,102,37,1,0
2019,4,Quảng Ninh,Miền Bắc,106,88,31,0,0
2019,4,Bắc Giang,Miền Bắc,161,122,40,0,0
2019,4,Lạng Sơn,Miền Bắc,154,101,24,2,2
2019,4,Sơn La,Miền Bắc,142,102,23,0,0
2019,4,Thanh Hóa,Miền Bắc,132,103,35,1,1
2019,4,Nghệ An,Miền Bắc,175,125,33,1,0
2019,4,Đà Nẵng,Miền Trung,148,99,21,0,0
2019,4,Quảng Nam,Miền Trung,108,77,17,1,1
2019,4,Quảng Ngãi,Miền Trung,145,123,46,0,0
2019,4,Bình Định,Miền Trung,107,92,28,1,1
2019,4,Khánh Hòa,Miền Trung,137,92,30,0,0
2019,4,Phú Yên,Miền Trung,131,99,30,0,0
2019,4,Gia Lai,Tây Nguyên,184,122,50,0,0
2019,4,Đắk Lắk,Tây Nguyên,189,152,55,1,1
2019,4,Lâm Đồng,Tây Nguyên,213,174,70,0,0
2019,4,Kon Tum,Tây Nguyên,126,98,37,0,0
2019,4,Hồ Chí Minh,Miền Nam,134,92,20,2,0
2019,4,Cần Thơ,Miền Nam,144,108,29,1,1
2019,4,An Giang,Miền Nam,124,106,34,0,0
2019,4,Kiên Giang,Miền Nam,185,134,28,2,1
2019,4,Đồng Tháp,Miền Nam,128,84,26,2,2
2019,4,Bình Phước,Miền Nam,133,108,38,1,1
2019,4,Tây Ninh,Miền Nam,176,130,37,1,1
2019,5,Hà Nội,Miền Bắc,180,155,54,0,0
2019,5,Hải Phòng,Miền Bắc,171,127,45,3,2
2019,5,Quảng Ninh,Miền Bắc,143,94,24,1,1
2019,5,Bắc Giang,Miền Bắc,181,148,42,0,0
2019,5,Lạng Sơn,Miền Bắc,166,114,34,1,0
2019,5,Sơn La,Miền Bắc,164,131,29,1,1
2019,5,Thanh Hóa,Miền Bắc,165,135,31,1,1
2019,5,Nghệ An,Miền Bắc,165,124,37,1,1
2019,5,Đà Nẵng,Miền Trung,183,130,43,1,0
2019,5,Quảng Nam,Miền Trung,136,95,22,1,1
2019,5,Quảng Ngãi,Miền Trung,150,105,37,2,2
2019,5,Bình Định,Miền Trung,118,81,25,0,0
2019,5,Khánh Hòa,Miền Trung,166,120,29,0,0
2019,5,Phú Yên,Miền Trung,141,111,30,1,0
2019,5,Gia Lai,Tây Nguyên,218,185,54,3,2
2019,5,Đắk Lắk,Tây Nguyên,175,114,45,0,0
2019,5,Lâm Đồng,Tây Nguyên,193,150,50,1,0
2019,5,Kon Tum,Tây Nguyên,180,141,45,1,1
2019,5,Hồ Chí Minh,Miền Nam,106,86,17,1,1
2019,5,Cần Thơ,Miền Nam,152,115,39,2,0
2019,5,An Giang,Miền Nam,141,107,34,0,0
2019,5,Kiên Giang,Miền Nam,184,122,43,1,1
2019,5,Đồng Tháp,Miền Nam,156,122,32,0,0
2019,5,Bình Phước,Miền Nam,181,157,45,0,0
2019,5,Tây Ninh,Miền Nam,170,139,51,2,1
2019,6,Hà Nội,Miền Bắc,196,159,63,0,0
2019,6,Hải Phòng,Miền Bắc,162,106,36,0,0
2019,6,Quảng Ninh,Miền Bắc,157,133,50,0,0
2019,6,Bắc Giang,Miền Bắc,192,151,35,0,0
2019,6,Lạng Sơn,Miền Bắc,137,99,35,0,0
2019,6,Sơn La,Miền Bắc,144,119,30,2,2
2019,6,Thanh Hóa,Miền Bắc,178,156,41,1,0
2019,6,Nghệ An,Miền Bắc,193,144,51,0,0
2019,6,Đà Nẵng,Miền Trung,131,93,23,0,0
2019,6,Quảng Nam,Miền Trung,96,84,23,0,0
2019,6,Quảng Ngãi,Miền Trung,159,138,50,0,0
2019,6,Bình Định,Miền Trung,119,103,30,1,1
2019,6,Khánh Hòa,Miền Trung,144,101,22,0,0
2019,6,Phú Yên,Miền Trung,119,86,16,4,2
2019,6,Gia Lai,Tây Nguyên,183,143,45,0,0
2019,6,Đắk Lắk,Tây Nguyên,199,135,53,4,2
2019,6,Lâm Đồng,Tây Nguyên,157,126,24,2,1
2019,6,Kon Tum,Tây Nguyên,155,132,49,3,2
2019,6,Hồ Chí Minh,Miền Nam,142,93,35,0,0
2019,6,Cần Thơ,Miền Nam,145,99,37,1,0
2019,6,An Giang,Miền Nam,135,107,33,1,1
2019,6,Kiên Giang,Miền Nam,169,113,45,1,0
2019,6,Đồng Tháp,Miền Nam,118,86,28,0,0
2019,6,Bình Phước,Miền Nam,135,88,16,0,0
2019,6,Tây Ninh,Miền Nam,159,128,36,0,0
2019,7,Hà Nội,Miền Bắc,154,128,44,0,0
2019,7,Hải Phòng,Miền Bắc,127,101,24,1,0
2019,7,Quảng Ninh,Miền Bắc,120,88,21,1,1
2019,7,Bắc Giang,Miền Bắc,170,144,42,1,0
2019,7,Lạng Sơn,Miền Bắc,158,130,42,0,0
2019,7,Sơn La,Miền Bắc,143,108,22,0,0
2019,7,Thanh Hóa,Miền Bắc,148,103,30,0,0
2019,7,Nghệ An,Miền Bắc,171,142,36,1,0
2019,7,Đà Nẵng,Miền Trung,137,98,33,2,2
2019,7,Quảng Nam,Miền Trung,118,91,16,0,0
2019,7,Quảng Ngãi,Miền Trung,141,103,19,0,0
2019,7,Bình Định,Miền Trung,109,85,29,1,1
2019,7,Khánh Hòa,Miền Trung,105,85,33,2,2
2019,7,Phú Yên,Miền Trung,126,103,20,0,0
2019,7,Gia Lai,Tây Nguyên,170,144,33,1,0
2019,7,Đắk Lắk,Tây Nguyên,173,134,47,0,0
2019,7,Lâm Đồng,Tây Nguyên,173,139,27,0,0
2019,7,Kon Tum,Tây Nguyên,133,113,40,1,1
2019,7,Hồ Chí Minh,Miền Nam,131,98,34,1,1
2019,7,Cần Thơ,Miền Nam,159,126,41,1,0
2019,7,An Giang,Miền Nam,109,95,21,1,0
2019,7,Kiên Giang,Miền Nam,150,109,35,0,0
2019,7,Đồng Tháp,Miền Nam,127,90,30,0,0
2019,7,Bình Phước,Miền Nam,150,130,37,0,0
2019,7,Tây Ninh,Miền Nam,126,96,25,1,0
2019,8,Hà Nội,Miền Bắc,151,103,19,2,1
2019,8,Hải Phòng,Miền Bắc,125,89,17,1,0
2019,8,Quảng Ninh,Miền Bắc,111,80,24,0,0
2019,8,Bắc Giang,Miền Bắc,186,161,53,2,1
2019,8,Lạng Sơn,Miền Bắc,129,89,30,1,1
2019,8,Sơn La,Miền Bắc,135,117,40,1,1
2019,8,Thanh Hóa,Miền Bắc,136,95,32,0,0
2019,8,Nghệ An,Miền Bắc,160,128,53,0,0
2019,8,Đà Nẵng,Miền Trung,141,110,39,1,0
2019,8,Quảng Nam,Miền Trung,115,95,27,1,1
2019,8,Quảng Ngãi,Miền Trung,126,93,26,0,0
2019,8,Bình Định,Miền Trung,100,66,21,1,1
2019,8,Khánh Hòa,Miền Trung,119,86,23,0,0
2019,8,Phú Yên,Miền Trung,114,90,32,3,3
2019,8,Gia Lai,Tây Nguyên,161,122,29,0,0
2019,8,Đắk Lắk,Tây Nguyên,146,113,28,1,1
2019,8,Lâm Đồng,Tây Nguyên,160,123,43,0,0
2019,8,Kon Tum,Tây Nguyên,132,115,34,1,1
2019,8,Hồ Chí Minh,Miền Nam,118,82,18,1,0
2019,8,Cần Thơ,Miền Nam,124,102,25,1,1
2019,8,An Giang,Miền Nam,114,93,35,0,0
2019,8,Kiên Giang,Miền Nam,121,96,31,1,0
2019,8,Đồng Tháp,Miền Nam,106,78,22,1,1
2019,8,Bình Phước,Miền Nam,131,87,17,1,1
2019,8,Tây Ninh,Miền Nam,137,114,26,2,2
2019,9,Hà Nội,Miền Bắc,119,90,17,2,2
2019,9,Hải Phòng,Miền Bắc,106,88,35,0,0
2019,9,Quảng Ninh,Miền Bắc,90,79,31,0,0
2019,9,Bắc Giang,Miền Bắc,137,108,21,1,0
2019,9,Lạng Sơn,Miền Bắc,118,84,20,0,0
2019,9,Sơn La,Miền Bắc,107,79,22,1,1
2019,9,Thanh Hóa,Miền Bắc,92,67,26,2,2
2019,9,Nghệ An,Miền Bắc,139,117,46,1,1
2019,9,Đà Nẵng,Miền Trung,91,60,11,0,0
2019,9,Quảng Nam,Miền Trung,112,80,24,0,0
2019,9,Quảng Ngãi,Miền Trung,91,63,20,1,1
2019,9,Bình Định,Miền Trung,77,52,13,0,0
2019,9,Khánh Hòa,Miền Trung,104,79,33,1,0
2019,9,Phú Yên,Miền Trung,92,62,24,0,0
2019,9,Gia Lai,Tây Nguyên,125,93,35,2,1
2019,9,Đắk Lắk,Tây Nguyên,135,104,24,0,0
2019,9,Lâm Đồng,Tây Nguyên,125,97,28,1,1
2019,9,Kon Tum,Tây Nguyên,106,78,22,3,1
2019,9,Hồ Chí Minh,Miền Nam,99,84,24,1,1
2019,9,Cần Thơ,Miền Nam,106,86,26,1,1
2019,9,An Giang,Miền Nam,98,70,18,1,1
2019,9,Kiên Giang,Miền Nam,123,80,15,1,1
2019,9,Đồng Tháp,Miền Nam,85,70,23,0,0
2019,9,Bình Phước,Miền Nam,115,100,32,1,1
2019,9,Tây Ninh,Miền Nam,131,96,27,0,0
2019,10,Hà Nội,Miền Bắc,118,83,17,0,0
2019,10,Hải Phòng,Miền Bắc,123,88,33,3,2
2019,10,Quảng Ninh,Miền Bắc,80,70,28,0,0
2019,10,Bắc Giang,Miền Bắc,108,88,33,0,0
2019,10,Lạng Sơn,Miền Bắc,108,88,27,1,0
2019,10,Sơn La,Miền Bắc,108,86,31,0,0
2019,10,Thanh Hóa,Miền Bắc,102,72,25,1,0
2019,10,Nghệ An,Miền Bắc,113,92,30,0,0
2019,10,Đà Nẵng,Miền Trung,96,74,13,1,1
2019,10,Quảng Nam,Miền Trung,79,56,21,1,0
2019,10,Quảng Ngãi,Miền Trung,117,86,23,1,1
2019,10,Bình Định,Miền Trung,85,67,13,0,0
2019,10,Khánh Hòa,Miền Trung,97,76,26,1,1
2019,10,Phú Yên,Miền Trung,84,68,25,0,0
2019,10,Gia Lai,Tây Nguyên,130,94,26,0,0
2019,10,Đắk Lắk,Tây Nguyên,112,91,38,2,1
2019,10,Lâm Đồng,Tây Nguyên,135,105,33,0,0
2019,10,Kon Tum,Tây Nguyên,99,64,11,1,1
2019,10,Hồ Chí Minh,Miền Nam,84,70,15,1,1
2019,10,Cần Thơ,Miền Nam,102,83,30,0,0
2019,10,An Giang,Miền Nam,92,75,25,1,0
2019,10,Kiên Giang,Miền Nam,103,88,21,0,0
2019,10,Đồng Tháp,Miền Nam,103,85,16,0,0
2019,10,Bình Phước,Miền Nam,73,62,13,0,0
2019,10,Tây Ninh,Miền Nam,105,89,16,2,2
2019,11,Hà Nội,Miền Bắc,109,75,23,0,0
2019,11,Hải Phòng,Miền Bắc,107,73,17,0,0
2019,11,Quảng Ninh,Miền Bắc,104,80,16,2,1
2019,11,Bắc Giang,Miền Bắc,123,106,40,1,0
2019,11,Lạng Sơn,Miền Bắc,113,86,32,0,0
2019,11,Sơn La,Miền Bắc,95,65,16,1,0
2019,11,Thanh Hóa,Miền Bắc,98,85,31,0,0
2019,11,Nghệ An,Miền Bắc,105,90,27,0,0
2019,11,Đà Nẵng,Miền Trung,88,73,19,2,2
2019,11,Quảng Nam,Miền Trung,83,64,13,1,0
2019,11,Quảng Ngãi,Miền Trung,122,106,22,0,0
2019,11,Bình Định,Miền Trung,89,66,21,0,0
2019,11,Khánh Hòa,Miền Trung,112,85,35,0,0
2019,11,Phú Yên,Miền Trung,95,81,22,0,0
2019,11,Gia Lai,Tây Nguyên,137,117,23,1,0
2019,11,Đắk Lắk,Tây Nguyên,127,91,26,1,1
2019,11,Lâm Đồng,Tây Nguyên,114,95,19,0,0
2019,11,Kon Tum,Tây Nguyên,94,70,25,1,0
2019,11,Hồ Chí Minh,Miền Nam,92,74,19,1,0
2019,11,Cần Thơ,Miền Nam,97,69,23,1,1
2019,11,An Giang,Miền Nam,95,80,29,1,0
2019,11,Kiên Giang,Miền Nam,120,81,23,0,0
2019,11,Đồng Tháp,Miền Nam,111,81,33,0,0
2019,11,Bình Phước,Miền Nam,103,84,33,0,0
2019,11,Tây Ninh,Miền Nam,124,106,38,1,1
2019,12,Hà Nội,Miền Bắc,119,80,27,1,1
2019,12,Hải Phòng,Miền Bắc,123,88,31,0,0
2019,12,Quảng Ninh,Miền Bắc,115,92,29,1,0
2019,12,Bắc Giang,Miền Bắc,144,112,46,1,1
2019,12,Lạng Sơn,Miền Bắc,103,82,31,1,1
2019,12,Sơn La,Miền Bắc,122,104,29,1,0
2019,12,Thanh Hóa,Miền Bắc,106,71,19,0,0
2019,12,Nghệ An,Miền Bắc,140,107,35,0,0
2019,12,Đà Nẵng,Miền Trung,103,78,14,0,0
2019,12,Quảng Nam,Miền Trung,88,61,19,0,0
2019,12,Quảng Ngãi,Miền Trung,104,67,12,0,0
2019,12,Bình Định,Miền Trung,66,48,17,0,0
2019,12,Khánh Hòa,Miền Trung,106,91,25,0,0
2019,12,Phú Yên,Miền Trung,102,74,22,1,0
2019,12,Gia Lai,Tây Nguyên,131,97,27,0,0
2019,12,Đắk Lắk,Tây Nguyên,154,121,30,3,3
2019,12,Lâm Đồng,Tây Nguyên,134,90,25,1,0
2019,12,Kon Tum,Tây Nguyên,137,110,29,1,0
2019,12,Hồ Chí Minh,Miền Nam,98,80,16,1,1
2019,12,Cần Thơ,Miền Nam,107,83,15,0,0
2019,12,An Giang,Miền Nam,100,81,27,2,2
2019,12,Kiên Giang,Miền Nam,142,102,32,0,0
2019,12,Đồng Tháp,Miền Nam,109,88,23,0,0
2019,12,Bình Phước,Miền Nam,112,95,24,0,0
2019,12,Tây Ninh,Miền Nam,124,82,22,0,0
2020,1,Hà Nội,Miền Bắc,150,110,25,2,1
2020,1,Hải Phòng,Miền Bắc,168,110,20,0,0
2020,1,Quảng Ninh,Miền Bắc,101,83,24,0,0
2020,1,Bắc Giang,Miền Bắc,170,147,37,4,3
2020,1,Lạng Sơn,Miền Bắc,145,108,27,0,0
2020,1,Sơn La,Miền Bắc,117,85,20,2,2
2020,1,Thanh Hóa,Miền Bắc,134,106,24,0,0
2020,1,Nghệ An,Miền Bắc,156,135,53,1,1
2020,1,Đà Nẵng,Miền Trung,137,116,47,0,0
2020,1,Quảng Nam,Miền Trung,104,79,30,1,1
2020,1,Quảng Ngãi,Miền Trung,130,101,39,1,0
2020,1,Bình Định,Miền Trung,106,73,15,1,0
2020,1,Khánh Hòa,Miền Trung,118,93,37,0,0
2020,1,Phú Yên,Miền Trung,111,90,31,0,0
2020,1,Gia Lai,Tây Nguyên,159,132,32,0,0
2020,1,Đắk Lắk,Tây Nguyên,184,161,55,1,1
2020,1,Lâm Đồng,Tây Nguyên,138,114,38,2,1
2020,1,Kon Tum,Tây Nguyên,127,92,19,2,2
2020,1,Hồ Chí Minh,Miền Nam,114,76,21,0,0
2020,1,Cần Thơ,Miền Nam,119,99,39,0,0
2020,1,An Giang,Miền Nam,128,97,22,2,1
2020,1,Kiên Giang,Miền Nam,140,109,35,0,0
2020,1,Đồng Tháp,Miền Nam,126,102,38,1,1
2020,1,Bình Phước,Miền Nam,129,87,28,0,0
2020,1,Tây Ninh,Miền Nam,145,94,28,0,0
2020,2,Hà Nội,Miền Bắc,148,98,37,0,0
2020,2,Hải Phòng,Miền Bắc,138,99,20,0,0
2020,2,Quảng Ninh,Miền Bắc,115,83,30,1,1
2020,2,Bắc Giang,Miền Bắc,172,127,42,1,0
2020,2,Lạng Sơn,Miền Bắc,155,104,38,1,0
2020,2,Sơn La,Miền Bắc,140,105,24,0,0
2020,2,Thanh Hóa,Miền Bắc,137,113,31,2,1
2020,2,Nghệ An,Miền Bắc,176,126,26,2,2
2020,2,Đà Nẵng,Miền Trung,133,89,27,0,0
2020,2,Quảng Nam,Miền Trung,127,93,24,0,0
2020,2,Quảng Ngãi,Miền Trung,125,95,26,1,0
2020,2,Bình Định,Miền Trung,118,97,35,1,0
2020,2,Khánh Hòa,Miền Trung,140,94,22,0,0
2020,2,Phú Yên,Miền Trung,115,88,23,0,0
2020,2,Gia Lai,Tây Nguyên,197,168,61,2,2
2020,2,Đắk Lắk,Tây Nguyên,166,144,58,4,3
2020,2,Lâm Đồng,Tây Nguyên,180,133,45,0,0
2020,2,Kon Tum,Tây Nguyên,136,97,28,2,0
2020,2,Hồ Chí Minh,Miền Nam,122,83,34,1,0
2020,2,Cần Thơ,Miền Nam,119,99,28,1,0
2020,2,An Giang,Miền Nam,119,78,29,3,3
2020,2,Kiên Giang,Miền Nam,150,100,32,1,0
2020,2,Đồng Tháp,Miền Nam,140,106,37,0,0
2020,2,Bình Phước,Miền Nam,145,99,31,1,0
2020,2,Tây Ninh,Miền Nam,143,100,33,0,0
2020,3,Hà Nội,Miền Bắc,159,130,26,1,0
2020,3,Hải Phòng,Miền Bắc,140,103,41,1,1
2020,3,Quảng Ninh,Miền Bắc,133,110,26,1,1
2020,3,Bắc Giang,Miền Bắc,155,108,20,0,0
2020,3,Lạng Sơn,Miền Bắc,144,102,41,1,1
2020,3,Sơn La,Miền Bắc,143,124,48,0,0
2020,3,Thanh Hóa,Miền Bắc,161,123,28,1,0
2020,3,Nghệ An,Miền Bắc,167,111,45,1,0
2020,3,Đà Nẵng,Miền Trung,140,115,38,0,0
2020,3,Quảng Nam,Miền Trung,136,97,27,0,0
2020,3,Quảng Ngãi,Miền Trung,133,86,24,1,1
2020,3,Bình Định,Miền Trung,110,89,36,0,0
2020,3,Khánh Hòa,Miền Trung,144,121,34,0,0
2020,3,Phú Yên,Miền Trung,123,103,23,0,0
2020,3,Gia Lai,Tây Nguyên,214,187,67,1,1
2020,3,Đắk Lắk,Tây Nguyên,163,127,51,0,0
2020,3,Lâm Đồng,Tây Nguyên,168,120,42,1,1
2020,3,Kon Tum,Tây Nguyên,164,133,38,3,1
2020,3,Hồ Chí Minh,Miền Nam,138,112,35,2,0
2020,3,Cần Thơ,Miền Nam,158,103,39,0,0
2020,3,An Giang,Miền Nam,126,102,38,2,1
2020,3,Kiên Giang,Miền Nam,173,128,27,1,1
2020,3,Đồng Tháp,Miền Nam,150,119,37,2,2
2020,3,Bình Phước,Miền Nam,153,125,34,0,0
2020,3,Tây Ninh,Miền Nam,168,125,43,0,0
2020,4,Hà Nội,Miền Bắc,142,123,41,1,1
2020,4,Hải Phòng,Miền Bắc,152,113,46,0,0
2020,4,Quảng Ninh,Miền Bắc,134,117,24,0,0
2020,4,Bắc Giang,Miền Bắc,188,140,36,1,1
2020,4,Lạng Sơn,Miền Bắc,164,109,44,0,0
2020,4,Sơn La,Miền Bắc,132,104,34,0,0
2020,4,Thanh Hóa,Miền Bắc,144,117,38,0,0
2020,4,Nghệ An,Miền Bắc,173,146,59,0,0
2020,4,Đà Nẵng,Miền Trung,137,111,38,0,0
2020,4,Quảng Nam,Miền Trung,116,100,27,1,0
2020,4,Quảng Ngãi,Miền Trung,134,100,20,2,1
2020,4,Bình Định,Miền Trung,125,99,23,1,0
2020,4,Khánh Hòa,Miền Trung,150,106,24,0,0
2020,4,Phú Yên,Miền Trung,123,92,32,1,1
2020,4,Gia Lai,Tây Nguyên,198,156,55,2,0
2020,4,Đắk Lắk,Tây Nguyên,184,130,34,3,3
2020,4,Lâm Đồng,Tây Nguyên,196,147,27,0,0
2020,4,Kon Tum,Tây Nguyên,154,117,47,0,0
2020,4,Hồ Chí Minh,Miền Nam,136,108,26,0,0
2020,4,Cần Thơ,Miền Nam,138,95,32,3,2
2020,4,An Giang,Miền Nam,126,104,26,2,1
2020,4,Kiên Giang,Miền Nam,145,112,33,0,0
2020,4,Đồng Tháp,Miền Nam,156,131,50,1,1
2020,4,Bình Phước,Miền Nam,159,107,23,0,0
2020,4,Tây Ninh,Miền Nam,169,129,28,0,0
2020,5,Hà Nội,Miền Bắc,203,148,30,0,0
2020,5,Hải Phòng,Miền Bắc,174,122,23,1,0
2020,5,Quảng Ninh,Miền Bắc,148,110,31,1,1
2020,5,Bắc Giang,Miền Bắc,211,162,33,1,1
2020,5,Lạng Sơn,Miền Bắc,169,117,35,1,1
2020,5,Sơn La,Miền Bắc,168,118,21,1,0
2020,5,Thanh Hóa,Miền Bắc,181,131,48,1,0
2020,5,Nghệ An,Miền Bắc,196,144,53,1,1
2020,5,Đà Nẵng,Miền Trung,199,159,31,1,0
2020,5,Quảng Nam,Miền Trung,136,95,25,0,0
2020,5,Quảng Ngãi,Miền Trung,141,106,37,2,1
2020,5,Bình Định,Miền Trung,143,110,21,1,0
2020,5,Khánh Hòa,Miền Trung,165,112,38,2,0
2020,5,Phú Yên,Miền Trung,152,121,47,1,1
2020,5,Gia Lai,Tây Nguyên,198,139,32,2,2
2020,5,Đắk Lắk,Tây Nguyên,209,169,41,2,2
2020,5,Lâm Đồng,Tây Nguyên,203,168,60,0,0
2020,5,Kon Tum,Tây Nguyên,145,106,30,0,0
2020,5,Hồ Chí Minh,Miền Nam,129,109,25,1,1
2020,5,Cần Thơ,Miền Nam,158,138,52,1,1
2020,5,An Giang,Miền Nam,136,113,43,1,0
2020,5,Kiên Giang,Miền Nam,161,117,43,1,1
2020,5,Đồng Tháp,Miền Nam,158,104,39,1,0
2020,5,Bình Phước,Miền Nam,168,147,53,1,1
2020,5,Tây Ninh,Miền Nam,198,152,35,5,2
2020,6,Hà Nội,Miền Bắc,159,128,44,1,0
2020,6,Hải Phòng,Miền Bắc,168,136,39,2,1
2020,6,Quảng Ninh,Miền Bắc,150,130,40,1,0
2020,6,Bắc Giang,Miền Bắc,174,136,43,0,0
2020,6,Lạng Sơn,Miền Bắc,136,101,20,3,1
2020,6,Sơn La,Miền Bắc,164,136,57,0,0
2020,6,Thanh Hóa,Miền Bắc,176,153,44,1,1
2020,6,Nghệ An,Miền Bắc,165,109,25,0,0
2020,6,Đà Nẵng,Miền Trung,152,102,22,0,0
2020,6,Quảng Nam,Miền Trung,120,87,21,0,0
2020,6,Quảng Ngãi,Miền Trung,140,102,34,0,0
2020,6,Bình Định,Miền Trung,115,78,20,1,0
2020,6,Khánh Hòa,Miền Trung,138,115,24,1,1
2020,6,Phú Yên,Miền Trung,115,82,30,0,0
2020,6,Gia Lai,Tây Nguyên,198,161,51,3,1
2020,6,Đắk Lắk,Tây Nguyên,181,138,49,1,1
2020,6,Lâm Đồng,Tây Nguyên,179,147,30,0,0
2020,6,Kon Tum,Tây Nguyên,186,145,46,1,0
2020,6,Hồ Chí Minh,Miền Nam,126,85,26,0,0
2020,6,Cần Thơ,Miền Nam,148,102,38,0,0
2020,6,An Giang,Miền Nam,137,100,37,0,0
2020,6,Kiên Giang,Miền Nam,147,124,46,0,0
2020,6,Đồng Tháp,Miền Nam,151,105,40,0,0
2020,6,Bình Phước,Miền Nam,147,124,45,2,2
2020,6,Tây Ninh,Miền Nam,156,109,43,1,1
2020,7,Hà Nội,Miền Bắc,171,143,31,0,0
2020,7,Hải Phòng,Miền Bắc,140,107,35,2,0
2020,7,Quảng Ninh,Miền Bắc,128,107,23,0,0
2020,7,Bắc Giang,Miền Bắc,167,110,38,0,0
